,model,semantic_error_count,predicted_text,ground_truth
141189,gemini-portkey_results,3,men who'll be after that coach I'm invested,men who 'll be after that coach I 'm interested
141273,gemini-portkey_results,3,""" -> ""and""
    *   ""forks"" -> ""forks""
    *   ""and"" -> ""and""
    *   ""tidying""",and forks and tidying up implements . It might
268,Qwen3-VL-8B-Instruct_results,3,"ambience il mancavano elementi Washington camp""","audience it was "" current Washington gossip """
137340,gemini-portkey_results,3,"Bella stared. ""You're later than usual, aren't you?""","brella stand . ' You 're later than usual , aren't you ? '"
4358,Qwen3-VL-8B-Instruct_results,3,spiritmen described are sprayed akin as literally work with,witness described one sprayed area as literally rank with
4532,Qwen3-VL-8B-Instruct_results,3,so as to wake .7 grams. He does not,so as to make it grow . He does not
6064,Qwen3-VL-8B-Instruct_results,3,Truk and Creper Tannin- free Tea.,Trunk and Greppes Tannin-free Tea .
99438,claude-vision_results,3,was. I am Jan Rawley. Does that mean anything,was . I 'm Ian Bawley . Does that mean anything
99479,claude-vision_results,3,It's my business. I'll tell you more. You're,""" It 's my business . I 'll tell you more . You 're"
100047,chatgpt-gpt4o_results,3,meeting of Labour on Ph towards. Mr. Michael,meeting of Labour 0M Ps tommorow . Mr. Michael
89661,chandra_results,3,"be the friend of the family, love the","the fake friend of the family , like the"
89663,chandra_results,3,"Be equal being some how as ineffective, not","the result being somehow as ineffective , not"
90027,claude-vision_results,3,payment of a 210 million dept to Ameriton.,payment of a 210million debt to America .
90756,claude-vision_results,3,"otage, But the French have me at their","stage , but the French have one of their"
91113,claude-vision_results,3,"Viness Graatt, have been rebuked mopposed,","Villiers Graaff , have been returned unopposed ."
91264,claude-vision_results,3,"pert, Mr. Goeleer muttered his words","part , Mr. Godber muttered his way"
91469,claude-vision_results,3,Mr. Krescher raised the body of,MR. KRUSCHEV raises the bogy of
91813,claude-vision_results,3,peebles at the cleavage.,public of the change .
1597,Qwen3-VL-8B-Instruct_results,3,This was to remind me of the nurse maid,This was too reminiscent of the nursemaid
